title,release_year,description,type,rating,runtime,imdb_rating,genre,director,stars,gross
One Christmas Eve,2014.0,"A series of mishaps threaten a recently divorced mom's attempts to make her two kids' first Christmas ""without dad"" perfect.",Movie,Not Rated,86.0,6.0,"Comedy, Drama, Family",Jay Russell,"Anne Heche, Kevin Daniels, Carlos Gómez, Griffin Kane, ",
Christmas Again,2021.0,"After a disastrous celebration, 12-year-old Rowena makes a wish and unexpectedly finds herself reliving Christmas Day over and over again.",Movie,AL,94.0,5.2,"Adventure, Comedy, Family",Andy Fickman,"Scarlett Estevez, Alexis Carra, Beth Lacke, Ashlyn Jade Lopez, ",
Small Town Christmas,2018.0,A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.,Movie,TV-G,85.0,6.7,"Comedy, Drama, Romance",Maclain Nelson,"Ashley Newbrough, Kristoffer Polaha, Preston Vanderslice, Bailey Skodje, ",
Holiday in Santa Fe,2021.0,Sparks fly when a greeting card executive arrives in Santa Fe to acquire a tight-knit family company that creates ornaments inspired by Mexican Christmas traditions.,Movie,AL,85.0,6.1,"Comedy, Drama, Family",Jody Margolin Hahn,"Mario Lopez, Emeraude Toubia, Aimee Garcia, Gia Lopez, ",
The Sweetest Christmas,2017.0,"Kylie is expecting a proposal from her boyfriend/boss at a restaurant and gets a promotion instead. The restaurant owner is her old high school boyfriend, she hasn't seen in years. They help each other out. Love in the air?",Movie,TV-G,90.0,6.3,"Comedy, Drama, Romance",Terry Ingram,"Lacey Chabert, Lea Coco, Jonathan Adams, Brenden Sunderland, ",
Dear Christmas,2020.0,"Natalie has a hit podcast based on love, but she isn't so expert at finding it herself until Chris Massey enters her life and shakes things up. Not to mention his name.",Movie,TV-G,86.0,6.0,"Comedy, Drama, Romance",Emily Moss Wilson,"Melissa Joan Hart, Ed Begley Jr., Faith Prince, Nicky Whelan, ",
One Royal Holiday,2020.0,"When Anna offers a stranded mother and son shelter in a blizzard, she learns that they are the Royal Family of Galwick. Anna shows the Prince how they do Christmas in her hometown, encouraging him to open his heart and be true to himself.",Movie,TV-G,87.0,7.0,"Comedy, Drama, Family",Dustin Rikert,"Laura Osnes, Krystal Joy Brown, Tom McGowan, Bradley Rose, ",
Barbie in the Nutcracker,2001.0,"Barbie (Kelly Sheridan) shows that if you are kind, clever and brave, anything is possible in this tale of Clara (Kelly Sheridan) and her amazing Nutcracker (Kirby Morrow), who set off on an adventure to find the Sugarplum Princess.",Movie,TV-Y,76.0,6.3,"Animation, Family, Musical",Owen Hurley,"Kelly Sheridan, Kirby Morrow, Tim Curry, Peter Kelamis, ",
Anne of Green Gables,1985.0,"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.",Movie,TV-G,199.0,8.5,"Drama, Family",Megan Follows,"Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton, ",
Christmas at the Plaza,2019.0,An archival historian is hired to create a Christmas display at the Plaza Hotel and is paired with a handsome Christmas decorator to bring it to life.,Movie,TV-G,84.0,6.5,"Drama, Romance",Ron Oliver,"Elizabeth Henstridge, Ryan Paevey, Bruce Davison, Julia Duffy, ",
The Mistle-Tones,2012.0,A talented singer forms a musical group and challenges her rivals to a competition on Christmas Eve.,Movie,TV-PG,90.0,6.4,"Comedy, Family, Music",Paul Hoen,"Tia Mowry-Hardrict, Jonathan Patrick Moore, Andy Gala, Megan Kathleen Duffy, ",
A Christmas Prince: The Royal Wedding,2018.0,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",Movie,TV-PG,92.0,5.3,"Drama, Romance",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ",
A Timeless Christmas,2020.0,Charles Whitley travels from 1903 to 2020 where he meets Megan Turner and experiences a 21st Century Christmas.,Movie,TV-G,84.0,7.0,"Comedy, Fantasy, Romance",Ron Oliver,"Erin Cahill, Ryan Paevey, Brandi Alexander, Zahf Paroo, ",
Bachelor Mother,1939.0,"An unemployed woman discovers an abandoned baby on the steps of an orphanage, and accepts an offer to take responsibility for the child in return for a job.",Movie,Passed,82.0,7.5,"Comedy, Romance",Garson Kanin,"Ginger Rogers, David Niven, Charles Coburn, Frank Albertson, ",
Christmas in the Smokies,2015.0,Christmas in the Smokies is a modern-day Christmas classic set in the beautiful Smoky Mountains that tells the story of one family's journey to save their historic berry farm against all odds during one fateful holiday season.,Movie,TV-G,88.0,5.8,"Drama, Family, Romance",Gary Wheeler,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, ",
Christmas at the Palace,2018.0,A king who is struggling to live up to his father's name hires an ice skating choreographer for a special Christmas Eve performance to celebrate the founding of his nation.,Movie,TV-G,85.0,6.3,Romance,Peter Hewitt,"Merritt Patterson, Andrew Cooper, Brittany Bristow, Nicholas Banks, ",
The Christmas List,1997.0,Perfume saleslady Melody Parris feels like her life is in neutral. Her stick-in-the mud boyfriend won't commit and she gets passed over for a promotion at the store where she works. She ...                See full summary »,Movie,,96.0,6.7,"Comedy, Fantasy, Romance",Charles Jarrott,"Mimi Rogers, Rob Stewart, Stella Stevens, Bill Switzer, ",
A New Orleans Noel,2022.0,"Follows Grace and Anthony, who despite having gone to college to study architecture together, are too different, but things between them change after both are hired to work on the same place and end up celebrating Christmas together.",Movie,TV-PG,85.0,5.9,Drama,Angela Tucker,"Tim Reid, Keshia Knight Pulliam, Brad James, Patti LaBelle, ",
Rocky Mountain Christmas,2017.0,"After her breakup with a famous tech entrepreneur makes national headlines, Sarah returns to her uncle's ranch to escape the spotlight where she crosses paths with a Hollywood actor who's looking to prepare for an upcoming role.",Movie,TV-G,90.0,6.5,"Family, Fantasy, Romance",Tibor Takács,"Kristoffer Polaha, Lindy Booth, Treat Williams, Chris McNally, ",
Christmas Plus One,2022.0,"When sisters Cara and Amy make a pact to find their soulmates by next Christmas, they're not expecting to be so lucky. One year later, Amy's wedding approaches and Cara finds her soulmate but quickly loses him. Will her wish come true?",Movie,,92.0,6.1,"Comedy, Romance",Meeshelle Neal,"Emily Alatalo, Corey Sevier, Andrew Bushell, Leighton Alexander Williams, ",
How to Ruin Christmas,2020.0,Prodigal daughter Tumi goes home for the holidays and manages to ruin her sister's wedding plans. Now she must make things right before it's too late.,Movie,TV-MA,50.0,6.4,"Comedy, Drama",Saint Seseli,"Nandi Nyembe, Busisiwe Lurayi, Thando Thabethe, ",
Lady on a Train,1945.0,"In New York, a woman who partially witnesses a killing from a train window seeks the aid of a crime novelist to solve the murder.",Movie,Passed,94.0,6.8,"Comedy, Crime, Film-Noir",Charles David,"Deanna Durbin, Ralph Bellamy, David Bruce, George Coulouris, ",
Christmas Ransom,2022.0,"When a pair of bumbling crooks hijack the Harrington and Sons toy store, a pair of kids stumble into the heist and are forced to team up with a female security officer to save Christmas.",Movie,,84.0,4.7,"Adventure, Comedy, Family",Adele Vuko,"Noah Atkinson, Vivienne Awosoga, Luc Barrett, Hugo Driscoll, ",
A Veteran's Christmas,2018.0,"After receiving an honorable discharge, a former Marine suffers a minor car accident which strands her in a small town for the Christmas season.",Movie,TV-G,84.0,6.9,"Drama, Romance",Mark Jean,"Sean Faris, Eloise Mumford, Mary Long, Amanda Lisman, ",
The Mistletoe Promise,2016.0,Two self-confessed 'Christmasphobes' sign a contract which will mutually benefit them over the holiday season.,Movie,TV-G,84.0,6.6,"Comedy, Drama, Family",David Winning,"Jaime King, Luke Macfarlane, Christie Laing, Lochlyn Munro, ",
A Bride for Christmas,2012.0,A single man tries to win a bet by getting a woman recovering from a broken engagement to marry him by Christmas.,Movie,TV-G,84.0,6.5,"Comedy, Romance",Gary Yates,"Arielle Kebbel, Andrew W. Walker, Kimberley Sustad, Sage Brocklebank, ",
The Christmas Setup,2020.0,"As they enjoy the local holidays together, Hugo and Patrick's attraction to each other is undeniable but as Hugo receives word of a big promotion requiring a move to London, he must decide what is most important to him.",Movie,TV-PG,85.0,6.8,"Drama, Romance",Pat Mills,"Ben Lewis, Blake Lee, Fran Drescher, Ellen Wong, ",
A Season for Miracles,1999.0,A miracle occurs for a homeless family consisting of two children neglected by their incarcerated mother and their protective aunt who is trying to keep them out of the foster system with the help of an angel.,Movie,G,100.0,7.6,"Drama, Romance",Michael Pressman,"Carla Gugino, Kathy Baker, David Conrad, Laura Dern, ",
The Christmas Miracle of Jonathan Toomey,2007.0,"When a broken hearted boy loses the treasured wooden nativity set that links him to his dead father, his worried mother persuades a lonely ill-tempered woodcarver to create a replacement, ...                See full summary »",Movie,6,91.0,6.4,Family,Bill Clark,"Tom Berenger, Sarah Wildor, Thomas Briggs, Joely Richardson, ",
Silent Night,2002.0,"In a cabin in a WWII front, a German mom with a son mediates a truce between 3 German and 3 American soldiers so they can all celebrate Christmas Eve 1944 together.",Movie,TV-PG,100.0,7.5,"Biography, Drama, War",Rodney Gibbons,"Linda Hamilton, Matthew Harbour, Romano Orzari, Alain Goulem, ",
A Christmas Love Story,2019.0,"A youth choir director (Chenoweth) needs to write a big song for the Christmas Eve show but ""finds herself distracted"" when a boy with a golden voice (Kevin Quinn) joins her choir, which will come as news to his widowed father (Wolf).",Movie,TV-G,84.0,6.9,"Drama, Music, Romance",Eric Close,"Kristin Chenoweth, Scott Wolf, Kevin Quinn, Keith D. Robinson, ",
A Shoe Addict's Christmas,2018.0,Noelle's life stopped when her boyfriend broke up with her on Christmas Eve three years ago. A handsome fireman moves in above her. She gets locked in at work in a department store all alone save the ghost of Christmas past.,Movie,TV-G,85.0,6.5,"Fantasy, Romance",Michael Robison,"Candace Cameron Bure, Luke Macfarlane, Jean Smart, Tenika Davis, ",
The Christmas Cottage,2017.0,"While helping to organize her best friend's Christmas wedding, a successful designer reconnects with an old flame.",Movie,TV-G,90.0,6.3,"Comedy, Drama, Romance",Paul A. Kaufman,"Merritt Patterson, Steve Lund, Brittney Wilson, Victor Zinck Jr., ",
Call Me Mrs. Miracle,2010.0,A family-owned department store is struggling to sell toys during the holidays when a mysterious employee shows up and begins to work miracles.,Movie,Not Rated,90.0,6.8,"Comedy, Drama, Family",Michael M. Scott,"Doris Roberts, Jewel Staite, Eric Johnson, Quinn Lord, ",
A Royal Christmas,2014.0,"Prince Leopold, heir to the throne of Cordinia, wishes to marry his young love Emily Taylor, a humble seamstress from Philadelphia. But Leopold's mother, Queen Isadora has other plans for her son.",Movie,TV-G,90.0,6.5,"Comedy, Family, Romance",Alex Zamm,"Lacey Chabert, Jane Seymour, Stephen Hagan, Katherine Flynn, ",
Scentsational Christmas,2022.0,"Ellie decides to go back home for Christmas, and help her dad with the candle-making business. Little does she know, however, that her father has charming, writer Logan staying with him, looking for inspiration for his writings.",Movie,TV-PG,85.0,5.3,"Family, Romance",Robert Vaughn,"Nazneen Contractor, Mykee Selkin, Sugith Varughese, Jennifer Gibson, ",
A Christmas Prince: The Royal Baby,2019.0,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",Movie,TV-PG,84.0,5.4,"Family, Romance",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ",
My Dad's Christmas Date,2020.0,A 16-year-old tries to play matchmaker for her widowed father during Christmastime.,Movie,,91.0,5.5,"Comedy, Drama, Family",Mick Davis,"Jeremy Piven, Olivia-Mai Barrett, Hadar Cats, Joely Richardson, ",
Christmas in Conway,2013.0,Duncan Mayor loved Susie so much he wanted to give her one last Christmas gift before she passes away. He didn't care about any consequences or anything else.,Movie,TV-PG,97.0,6.7,"Drama, Romance",John Kent Harrison,"Andy Garcia, Mandy Moore, Cheri Oteri, Riley Smith, ",
A Christmas Wish,2019.0,"Maddie slips in a wish that her sister Faith will experience true love for the first time. The next day, Faith meets seemingly-perfect Andrew, but is he really the one for her?",Movie,TV-PG,90.0,6.2,"Comedy, Drama, Family",Emily Moss Wilson,"Hilarie Burton, Tyler Hilton, Megan Park, Lee Norris, ",
Christmas at Graceland,2018.0,"A Chicago-based business executive travels to Memphis to secure one of the city's oldest family-owned banks. While in Memphis, Laurel reunites with an old flame Clay, a local music promoter with loftier aspirations.",Movie,TV-G,85.0,5.7,"Comedy, Drama, Family",Eric Close,"Kellie Pickler, Wes Brown, Claire Elizabeth Green, Rhoda Griffis, ",
Five Star Christmas,2020.0,"When a travel writer shows up unexpectedly at their dad's Bed and Breakfast, the Ralston family all pretend to be guests in hopes of a good review. Lucy (Bethany Joy Lenz) falls for guest Jake (Victor Webster), but can't share her secret.",Movie,TV-G,84.0,6.9,"Comedy, Romance",Christie Will Wolf,"Bethany Joy Lenz, Victor Webster, Robert Wisden, Laura Soltis, ",
A Glenbrooke Christmas,2020.0,"As Christmas nears, heiress Jessica Morgan seizes what seems like her last chance to experience a relaxed Christmas and heads off to the small town of Glenbrooke, where she meets a handsome fireman.",Movie,TV-G,85.0,6.6,"Drama, Romance",David I. Strasser,"Autumn Reeser, Antonio Cupo, Lisa MacFadden, Beau Daniels, ",
Santa Games,2022.0,"When the manager of a mall where Santa Charles work decides to replace him, he asks to find his replacement. When this ad goes viral, the interview process becomes a series of tasks and challenges leading to an all-out competition.",Movie,,,4.5,Comedy,Keoni Waxman,"Glenn Bond, Michael Cervantes, Lala Costa, Destiny Freeman, ",
The Holiday Stocking,2022.0,"New angel R.J. returns to earth as a stranger and has the chance to help his sisters to reconcile, something he didn't accomplish in his lifetime.",Movie,TV-G,84.0,6.9,"Comedy, Drama, Family",Roger M. Bobb,"Tamala Jones, Nadine Ellis, B.J. Britt, Mykelti Williamson, ",
Christmas by Starlight,2020.0,"When her family's beloved café is slated for demolition, Annie vows to put a stop to it before Christmas.",Movie,TV-G,84.0,7.2,"Comedy, Drama, Romance",Gary Yates,"Kimberley Sustad, Paul Campbell, Darren Martens, Bruce Dawson, ",
Christmas with the Darlings,2020.0,A woman helps a charming man look after his orphaned nieces and nephew during the holidays.,Movie,TV-G,84.0,7.1,"Comedy, Family, Romance",Catherine Cyran,"Katrina Law, Carlo Marks, Steve Bacic, Islie Hirvonen, ",
Love You Like Christmas,2016.0,A high-powered marketing executive reconsiders her priorities when car trouble strands her in a small Ohioan town for the Christmas season.,Movie,TV-G,90.0,6.4,"Comedy, Drama, Family",Graeme Campbell,"Bonnie Somerville, Brennan Elliott, Madison Brydges, Precious Chong, ",
Mistletoe & Menorahs,2019.0,"When a toy company executive must learn about Hanukkah to land a big account, she enlists the help of her co-worker's friend, who also happens to be in need of turning his pad into a Christmas Wonderland to impress his girlfriend's father.",Movie,TV-PG,85.0,6.4,"Comedy, Drama, Romance",Max McGuire,"Kelley Jakle, Jake Epstein, Cory Lee, Jon McLaren, ",
A Heavenly Christmas,2016.0,"Upon her untimely death, a workaholic who never put much value into the joys of Christmas finds herself recruited to be a Christmas Angel -- and is assigned a hard luck case that she accidentally falls in love with.",Movie,TV-G,93.0,6.4,"Drama, Fantasy, Romance",Paul Shapiro,"Kristin Davis, Eric McCormack, Shirley MacLaine, Jaeda Lily Miller, ",
Christmas Getaway,2017.0,"A travel writer takes a Christmas vacation, but finds herself double-booked with a widower, his mother, and his daughter at the holiday site.",Movie,TV-G,90.0,7.0,"Comedy, Drama, Romance",Mel Damski,"Bridget Regan, Travis Van Winkle, Raven Stewart, Teryl Rothery, ",
Christmas Cupid,2010.0,A supernatural comedy in which a ruthless PR executive is forced to reconsider her life choices when her number one client suffers an untimely death during the Christmas season.,Movie,PG-13,85.0,5.4,"Comedy, Family, Fantasy",Gil Junger,"Christina Milian, Kenny Alfonso, Cynthia Evans, Burgess Jenkins, ",
Christmas in Evergreen: Tidings of Joy,2019.0,A skeptical writer shows up in Evergreen to get the scoop on the town's famed passion for Christmas during a search for a long-lost time capsule.,Movie,TV-G,85.0,6.4,Romance,Sean McNamara,"Maggie Lawson, Paul Greene, Rukiya Bernard, Holly Robinson Peete, ",
Christmas with a Prince: Becoming Royal,2019.0,Its Christmas again and Dr Tasha is on her way to meet Prince Alexander in St. Savarre. Though this is a happy time it is also a very stressful as a treaty is being negotiated between St. ...                See full summary »,Movie,TV-G,93.0,5.8,Romance,Justin G. Dyck,"Kaitlyn Leeb, Nick Hounslow, Josh Dean, Anastasia Marinina, ",
Ghosts of Christmas Past,2021.0,Ellie is told by a fortune teller that she must resolve her past and make amends with all of those she ghosted before Christmas and discovers love in the process.,Movie,AL,87.0,6.3,"Comedy, Romance",Virginia Abramovich,"Annie Clark, Dan Jeannotte, Morgan David Jones, Connie Wang, ",
Thomas Kinkade's Christmas Cottage,2008.0,"A look at the inspiration behind Thomas Kinkade's painting The Christmas Cottage, and how the artist was motivated to begin his career after discovering his mother was in danger of losing their family home.",Movie,PG,96.0,6.3,"Biography, Drama",Michael Campus,"Peter O'Toole, Jared Padalecki, Marcia Gay Harden, Aaron Ashmore, ",
Christmas Eve,2015.0,"Hilarity, romance, and transcendence prevail after a power outage traps six different groups of New Yorkers inside elevators on Christmas Eve.",Movie,PG,95.0,5.0,Comedy,Mitch Davis,"Patrick Stewart, Jon Heder, James Roday Rodriguez, Cheryl Hines, ",
Christmas in Vienna,2020.0,"Jess, a concert violinist whose heart just isn't in it anymore, goes to Vienna for a performance. While there, she finds the inspiration she has been missing, and a new love.",Movie,TV-G,83.0,6.4,"Drama, Romance",Maclain Nelson,"Sarah Drew, Brennan Elliott, Alina Fritsch, Allegra Tinnefeld, ",
Toying with the Holidays,2021.0,"Danielle returns to her hometown for the holidays with her young son Paul hoping to introduce him to some beloved holiday traditions, in particular the town's North Pole Express train.",Movie,TV-PG,86.0,6.3,"Comedy, Romance",Bradley Walsh,"Chad Michael Murray, Cindy Busby, Kate Trotter, Callum Shoniker, ",
Cross Country Christmas,2020.0,"After their flight is diverted, two old school friends work together to try and get back home in time for Christmas.",Movie,TV-G,83.0,6.6,"Comedy, Romance",Catherine Cyran,"Rachael Leigh Cook, Greyston Holt, Jon Cor, Robyn Bradley, ",
"A Godwink Christmas: Second Chance, First Love",2020.0,"After 15 years, a single father moves home from Hawaii with his two sons, and through a series of coincidences--or Godwinks--ends up stuck in traffic next to his high school sweetheart.",Movie,TV-G,85.0,6.7,"Drama, Family, Romance",Heather Hawthorn Doyle,"Brooke D'Orsay, Sam Page, Michele Scarabelli, Rhys Slack, ",
The Christmas Contract,2018.0,A recently-single woman dreads the thought of going back to her Louisiana hometown for Christmas when she finds out that her ex-boyfriend will be there with his new girlfriend.,Movie,TV-PG,89.0,6.8,"Drama, Family, Romance",Monika Mitchell,"Hilarie Burton, Robert Buckley, Danneel Ackles, Antwon Tanner, ",
Christmas in Evergreen: Letters to Santa,2018.0,Lisa Palmer's trip home to Evergreen for the holidays finds her fulfilling the wishes of a Christmas Past and finding a romance full of Christmas magic. Stars Jill Wagner and Mark Deklin.,Movie,TV-G,84.0,6.6,"Drama, Fantasy, Romance",Sean McNamara,"Jill Wagner, Mark Deklin, Holly Robinson Peete, Barbara Niven, ",
A Christmas Star,2021.0,An astronomer predicts that a new meteor shower will appear over a tiny town. Can she convince the locals to help with her discovery at the expense of a Christmas tradition?,Movie,7+,84.0,6.5,Romance,Jessica Harmon,"Sara Canning, Claudia Chen, Mercedes De La Cruz, Juliette Hawk, ",
Christmas on My Mind,2019.0,"When Lucy wakes up with a wedding dress in hand, she believes that she is late to her wedding with her ex-boyfriend Zach. However, she has no recollection of the past 2 years, including the fact that she is engaged to another man.",Movie,AL,84.0,6.4,"Comedy, Drama, Romance",Maclain Nelson,"Ashley Greene, Andrew W. Walker, Jackée Harry, Donna Benedicto, ",
Christmas in Tune,2021.0,"The story of Belle, a marketing executive who is worried that she might lose her job.",Movie,TV-PG,87.0,7.0,"Drama, Romance",Emily Moss Wilson,"Reba McEntire, John Schneider, Candice King, Justin David, ",
Swept Up by Christmas,2019.0,"An antique seller and a cleaner clash over how to downsize a magnificent estate right before Christmas. As the two uncover the house's treasures, they find a way to reconnect the reclusive owner with his own Christmases past.",Movie,TV-G,84.0,6.2,"Comedy, Drama, Romance",Philippe Gagnon,"Lindy Booth, Justin Bruening, Vlasta Vrana, Susan Bain, ",
Christmas Sweethearts,2019.0,"When a woman returns home to find her ex in a relationship, she enlists her best friend to act as her fake boyfriend.",Movie,TV-G,90.0,5.1,"Comedy, Drama, Romance",Jake Helgren,"Breanne Hill, Colton Little, Tanner Novlan, Masiela Lusha, ",
On the 12th Date of Christmas,2020.0,"Two game creators, both vying for a promotion, must team up to create a Christmas scavenger hunt.",Movie,TV-G,84.0,7.2,"Comedy, Romance",Gary Yates,"Mallory Jansen, Tyler Hynes, Cherissa Richards, Clare Filipow, ",
Snowglobe,2007.0,A young woman discovers a Christmas-themed dreamworld inside a magical snowglobe.,Movie,TV-PG,86.0,5.9,"Comedy, Family, Fantasy",Ron Lagomarsino,"Christina Milian, Erin Karpluk, Hilda Doherty, Jason Schombing, ",
My Favorite Christmas Tree,2022.0,"Kyla is a genealogy researcher who travels to the charming town of Conifer, hoping to piece together her ancestry. The search leads Kyla to a Christmas tree farm, its stubborn but handsome owner - and, possibly, love.",Movie,AL,90.0,6.1,"Comedy, Romance",Jason Bourque,"Emma Johnson, Giles Panton, Marnie Mahannah, Beth Fotheringham, ",
My Christmas Fiancé,2022.0,"A part-time student at a resort restaurant in beautiful Italy is hired by her boss to be his fiancée for the holidays, so he can avoid getting married.",Movie,,92.0,4.6,"Comedy, Romance",Stefano Milla,"Jennifer Freeman, Jack Parr, Jennifer Mischiati, Martina Pace, ",
Candy Coated Christmas,2021.0,"A rich L.A. marketing executive heads to a small town during the Christmas season to arrange for the sale of a property she owns, unbeknownst to her tenants.",Movie,,83.0,5.8,"Comedy, Romance",Ellie Kanner,"Molly McCook, Aaron O'Connell, Lee Garlington, Landry Townsend, ",
An Affair to Remember,1957.0,A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?,Movie,Not Rated,115.0,7.4,"Drama, Romance",Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson, ",
Christmas Time Is Here,2021.0,Nia is a local realtor who is helping Julian find the ideal property to expand for his upscale property developer company. Julian sets his eye on Nia's family owned inn that is managed by ...                See full summary »,Movie,AL,85.0,5.4,"Comedy, Family, Romance",Christie Will Wolf,"Rukiya Bernard, Dewshane Williams, Tom Pickett, Jill Morrison, ",
Just Another Christmas,2020.0,"Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life.",Movie,6,100.0,6.7,"Comedy, Drama",Roberto Santucci,"Arianne Botelho, Kevin Andrew Rivera, Neto Cajado, Louise Cardoso, ",
The Nine Kittens of Christmas,2021.0,Zachary and Marilee are thrown back together at Christmas when they're tasked with finding homes for a litter of adorable kittens.,Movie,TV-G,84.0,6.6,"Comedy, Drama, Family",David Winning,"Brandon Routh, Kimberley Sustad, Gregory Harrison, Stephanie Bennett, ",
Christmas Bells Are Ringing,2018.0,"A freelance photographer, on her way to Cape Cod to celebrate her father's Christmas Eve wedding, enlists the help of an old childhood friend to meet a deadline for a big Christmas spread that could ignite her career.",Movie,TV-G,88.0,6.4,"Drama, Romance",Pat Williams,"Emilie Ullerup, Josh Kelly, Mark Humphrey, Rebecca Staab, ",
Double Holiday,2019.0,"Rebecca endures working with her colleague and rival Chris to plan the office Christmas party in hopes of getting a promotion. While spending so much time together, will they take their eyes off the prize and see each other anew?",Movie,TV-G,84.0,6.8,"Drama, Romance",Don McBrearty,"Carly Pope, Kristoffer Polaha, Laura Cilevitz, Barbara Eve Harris, ",
Elf: Buddy's Musical Christmas,2013.0,"A musical, stop-motion adaptation of the well-known movie, Buddy, a human raised in the north pole, goes to New York to find his family.",Movie,TV-G,43.0,5.4,"Animation, Short, Adventure",Mark Caballero,"Seamus Walsh, Jim Parsons, Mark Hamill, Rachael MacFarlane, Max Charles, ",
A Gift Wrapped Christmas,2015.0,A personal shopper with a sunny disposition makes it her Christmas mission to melt the heart of her newest client - a workaholic widower and single parent.,Movie,TV-PG,87.0,7.0,"Comedy, Drama, Family",Lee Friedlander,"Meredith Hagner, Travis Milne, Anna Van Hooft, Anthony Bolognese, ",
A Christmas Detour,2015.0,"An anxious bride-to-be throws in with a broken-hearted guy and a happily married couple for an emergency ride to NYC, learning about each other and themselves along the way.",Movie,TV-G,85.0,6.1,"Comedy, Romance",Ron Oliver,"Candace Cameron Bure, Paul Greene, Sarah Strange, David James Lewis, ",
If I Only Had Christmas,2020.0,"At Christmas, a cheerful publicist teams up with a cynical VP and his eclectic team to help a charity in need.",Movie,TV-G,84.0,6.3,"Drama, Romance",David Weaver,"Candace Cameron Bure, Warren Christie, Jordana Largy, Brenda Crichlow, ",
Santa's Boots,2018.0,"Forced to take a vacation from her job in Seattle, Holly returns to her hometown where she reluctantly agrees to become Santa's new elf at her dad's local department store.",Movie,TV-PG,85.0,6.2,"Comedy, Drama, Romance",Shawn Tolleson,"Megan Hilty, Noah Mills, Roark Critchlow, Patricia Isaac, ",
Christmas on the Range,2019.0,Kendall's one holiday wish is to keep the family ranch solvent. Her rival's charming son offers help-and maybe more-but can he be trusted?,Movie,TV-G,90.0,6.2,"Romance, Western",Gary Wheeler,"Erin Cahill, Nicholas Gonzalez, A Martinez, Lindsay Wagner, ",
Christmas Wonderland,2018.0,"""Heidi (Osment), who initially left her small town of Pleasant Valley with the dream of one day becoming a successful painter, has put her own art on hold to excel as an art gallery curator...                See full summary »",Movie,TV-G,120.0,5.9,"Comedy, Drama, Romance",Sean Olson,"Emily Osment, Ryan Rottman, Kelly Hu, Jacob Buster, ",
A December Bride,2016.0,"A holiday wedding brings no joy to the bride's cousin, who was literally left by the groom right at the altar. But she might find her true love there when she gains a fake fiancé in the process.",Movie,TV-G,86.0,6.7,"Comedy, Romance",David Winning,"Jessica Lowndes, Daniel Lissing, Jay Hindle, Pauline Egan, ",
Christmas in Angel Falls,2017.0,"Guardian angel Gabby is sent to Angel Falls to revive the town's forgotten Christmas spirit, and unexpectedly finds love in the process.",Movie,TV-G,84.0,6.5,"Comedy, Drama, Romance",Bradley Walsh,"Rachel Boston, Paul Greene, Beau Bridges, Allison Hossack, ",
Christmas for a Dollar,2013.0,A family struggling to get by during the Depression expects another presentless Christmas until the father brings home a dollar for them to spend on presents.,Movie,PG,101.0,6.9,"Drama, Family",John Lyde,"Brian Krause, Nancy Stafford, Danielle C. Ryan, Heather Beers, ",
Chateau Christmas,2020.0,"World-famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.",Movie,TV-G,84.0,6.4,"Comedy, Drama, Music",Michael Robison,"Merritt Patterson, Luke Macfarlane, Jesse Hutch, Julia Benson, ",
Christmas in Wonderland,2006.0,"Three children and their father move from Los Angeles, California to Edmonton, Alberta. When they go shopping at West Edmonton Mall, they find counterfeit cash, inadvertently help catch crooks, and make a discovery about Santa.",Movie,PG,95.0,4.7,"Comedy, Crime, Family",James Orr,"Matthew Knight, Chris Kattan, Cameron Bright, Preston Lacy, ",$0.08M
Secretly Santa,2021.0,"Miranda and Paul, two business rivals who playfully despise each other, work together on a holiday gift-giving app, and unexpected feelings develop for one another.",Movie,AL,85.0,5.3,Romance,Sharon Lewis,"Alicia Dea Josipovic, Travis Nelson, Getenesh Berhe, Andrew Bushell, ",
The Nine Lives of Christmas,2014.0,"After a stray cat adopts Zachary, he meets Marilee and realizes the single life is not as fulfilling as he thought it was.",Movie,TV-G,86.0,7.1,"Comedy, Drama, Family",Mark Jean,"Brandon Routh, Kimberley Sustad, Stephanie Bennett, Chelsea Hobbs, ",
